episode,step,total_reward,power_max_w,velocity,gradient,percent_complete,AWC,ghost_percent_complete,position,action,power_agent_w,reward
0,1,-1.0,830.5894722024044,5.135237782782243,15.0,0.012838094456955607,9069.026652,0.012838094456955607,5.135237782782243,1.0,922.973348,-1.0
0,2,-2.0,755.961947872851,5.8272973425906045,15.0,0.027406337813432116,8472.437179797596,0.027406337813432116,10.962535125372847,1.0,830.5894722024044,-1.0
0,3,-3.0,694.7564879275687,6.082448488340906,15.0,0.042612459034284386,7950.4752319247455,0.042612459034284386,17.044983613713754,1.0,755.961947872851,-1.0
0,4,-4.0,643.897561160472,6.113365299949777,15.0,0.05789587228415883,7489.718743997177,0.05789587228415883,23.15834891366353,1.0,694.7564879275687,-1.0
0,5,-5.0,601.1506645871276,6.015453802271468,15.0,0.0729345067898375,7079.821182836705,0.0729345067898375,29.173802715934997,1.0,643.897561160472,-1.0
0,6,-6.0,564.8587605980133,5.842023654350884,15.0,0.0875395659257147,6712.670518249577,0.0875395659257147,35.01582637028588,1.0,601.1506645871276,-1.0
0,7,-7.0,533.7708162132967,5.626329259545787,15.0,0.10160538907457915,6381.811757651563,0.10160538907457915,40.64215562983166,1.0,564.8587605980133,-1.0
0,8,-8.0,506.92724825862695,5.390402772530419,15.0,0.11508139600590521,6082.040941438267,0.11508139600590521,46.032558402362085,1.0,533.7708162132967,-1.0
0,9,-9.0,483.58157479632354,5.149260714176756,15.0,0.1279545477913471,5809.11369317964,0.1279545477913471,51.18181911653884,1.0,506.92724825862695,-1.0
0,10,-10.0,463.14570549963145,4.913144051112057,15.0,0.14023740791912723,5559.532118383317,0.14023740791912723,56.094963167650896,1.0,483.58157479632354,-1.0
0,11,-11.0,445.15102392421744,4.688823841347778,15.0,0.15195946752249667,5330.386412883685,0.15195946752249667,60.78378700899867,1.0,463.14570549963145,-1.0
0,12,-12.0,429.22023816763175,4.480441439531826,15.0,0.16316057112132626,5119.235388959468,0.16316057112132626,65.2642284485305,1.0,445.15102392421744,-1.0
0,13,-13.0,415.0467112834141,4.2901178373537405,15.0,0.1738858657147106,4924.015150791836,0.1738858657147106,69.55434628588424,1.0,429.22023816763175,-1.0
0,14,-14.0,402.3790747380801,4.118449596381347,15.0,0.18418198970566396,4742.968439508422,0.18418198970566396,73.67279588226559,1.0,415.0467112834141,-1.0
0,15,-15.0,391.00963053286125,3.9649411669594232,15.0,0.19409434262306252,4574.589364770342,0.19409434262306252,77.63773704922501,1.0,402.3790747380801,-1.0
0,16,-16.0,380.765508347166,3.8283838775702246,15.0,0.20366530231698807,4417.579734237481,0.20366530231698807,81.46612092679523,1.0,391.00963053286125,-1.0
0,17,-17.0,371.50185178401733,3.707173653314281,15.0,0.2129332364502738,4270.814225890314,0.2129332364502738,85.17329458010951,1.0,380.765508347166,-1.0
0,18,-18.0,363.0965167340261,3.5995574795531393,15.0,0.22193213014915664,4133.312374106297,0.22193213014915664,88.77285205966265,1.0,371.50185178401733,-1.0
0,19,-19.0,355.4459088989771,3.503805930219688,15.0,0.23069164497470585,4004.2158573722713,0.23069164497470585,92.27665798988234,1.0,363.0965167340261,-1.0
0,20,-20.0,348.4616881908597,3.4183185865038563,15.0,0.23923744144096548,3882.7699484732943,0.23923744144096548,95.6949765763862,1.0,355.4459088989771,-1.0
0,21,-21.0,342.0681390102394,3.341675946782389,15.0,0.24759163130792147,3768.3082602824347,0.24759163130792147,99.03665252316858,1.0,348.4616881908597,-1.0
