episode,total_reward,steps,exit_reason
0,-237,37,terminated
1,-134,34,terminated
2,-135,35,terminated
3,-132,32,terminated
4,-36,36,terminated
5,-35,35,terminated
6,-137,37,terminated
7,-336,36,terminated
8,-238,38,terminated
9,-237,37,terminated
10,-36,36,terminated
11,-236,36,terminated
12,-36,36,terminated
13,-34,34,terminated
14,-136,36,terminated
15,-133,33,terminated
16,-333,33,terminated
17,-134,34,terminated
18,-132,32,terminated
19,-233,33,terminated
20,-139,39,terminated
21,-334,34,terminated
22,-338,38,terminated
23,-235,35,terminated
24,-234,34,terminated
25,70,30,terminated
26,-135,35,terminated
27,-133,33,terminated
28,-137,37,terminated
29,69,31,terminated
30,-234,34,terminated
31,-236,36,terminated
32,-237,37,terminated
33,-135,35,terminated
34,70,30,terminated
35,-34,34,terminated
36,-31,31,terminated
37,-32,32,terminated
38,-131,31,terminated
39,-136,36,terminated
40,-134,34,terminated
41,-33,33,terminated
42,-236,36,terminated
43,-32,32,terminated
44,-133,33,terminated
45,-34,34,terminated
46,-133,33,terminated
47,-35,35,terminated
48,-135,35,terminated
49,-131,31,terminated
50,-232,32,terminated
51,-136,36,terminated
52,-133,33,terminated
53,-135,35,terminated
54,-339,39,terminated
55,-541,41,terminated
56,-237,37,terminated
57,-236,36,terminated
58,-31,31,terminated
59,-33,33,terminated
60,-32,32,terminated
61,64,36,terminated
62,-36,36,terminated
63,-35,35,terminated
64,-35,35,terminated
65,69,31,terminated
66,-540,40,terminated
67,-237,37,terminated
68,-133,33,terminated
69,-138,38,terminated
70,-236,36,terminated
71,-133,33,terminated
72,-236,36,terminated
73,-33,33,terminated
74,-539,39,terminated
75,-132,32,terminated
76,-135,35,terminated
77,-134,34,terminated
78,-135,35,terminated
79,-338,38,terminated
80,-234,34,terminated
81,-336,36,terminated
82,-441,41,terminated
83,-132,32,terminated
84,-33,33,terminated
85,-234,34,terminated
86,69,31,terminated
87,-31,31,terminated
88,-33,33,terminated
89,-437,37,terminated
90,-335,35,terminated
91,-33,33,terminated
92,-135,35,terminated
93,-31,31,terminated
94,-337,37,terminated
95,-135,35,terminated
96,-235,35,terminated
97,-340,40,terminated
98,-238,38,terminated
99,65,35,terminated
100,-238,38,terminated
101,-138,38,terminated
102,-37,37,terminated
103,-36,36,terminated
104,-135,35,terminated
105,-136,36,terminated
106,-133,33,terminated
107,70,30,terminated
108,69,31,terminated
109,-36,36,terminated
110,-138,38,terminated
111,-30,30,terminated
112,-134,34,terminated
113,-135,35,terminated
114,-133,33,terminated
115,-35,35,terminated
116,-135,35,terminated
117,65,35,terminated
118,-237,37,terminated
119,-136,36,terminated
120,-30,30,terminated
121,-439,39,terminated
122,-137,37,terminated
123,-131,31,terminated
124,-236,36,terminated
125,-36,36,terminated
126,-234,34,terminated
127,-137,37,terminated
128,68,32,terminated
129,-32,32,terminated
130,-237,37,terminated
131,-133,33,terminated
132,-234,34,terminated
133,-37,37,terminated
134,-32,32,terminated
135,-38,38,terminated
136,-30,30,terminated
137,-32,32,terminated
138,-27,27,terminated
139,-32,32,terminated
140,-35,35,terminated
141,-137,37,terminated
142,-339,39,terminated
143,-133,33,terminated
144,-134,34,terminated
145,70,30,terminated
146,-235,35,terminated
147,-35,35,terminated
148,-132,32,terminated
149,-31,31,terminated
150,66,34,terminated
151,-136,36,terminated
152,64,36,terminated
153,-30,30,terminated
154,-235,35,terminated
155,-339,39,terminated
156,-240,40,terminated
157,-133,33,terminated
158,-30,30,terminated
159,-132,32,terminated
160,-32,32,terminated
161,-32,32,terminated
162,-33,33,terminated
163,65,35,terminated
164,70,30,terminated
165,-32,32,terminated
166,-32,32,terminated
167,-234,34,terminated
168,-129,29,terminated
169,-239,39,terminated
170,67,33,terminated
171,67,33,terminated
172,-136,36,terminated
173,68,32,terminated
174,-30,30,terminated
175,-134,34,terminated
176,-237,37,terminated
177,-33,33,terminated
178,-134,34,terminated
179,-36,36,terminated
180,67,33,terminated
181,70,30,terminated
182,-134,34,terminated
183,-236,36,terminated
184,-140,40,terminated
185,-31,31,terminated
186,-235,35,terminated
187,-134,34,terminated
188,-31,31,terminated
189,-233,33,terminated
190,-138,38,terminated
191,-34,34,terminated
192,-136,36,terminated
193,-34,34,terminated
194,-135,35,terminated
195,-35,35,terminated
196,-337,37,terminated
197,66,34,terminated
198,-34,34,terminated
199,69,31,terminated
200,-31,31,terminated
201,-133,33,terminated
202,-338,38,terminated
203,-132,32,terminated
204,-241,41,terminated
205,-31,31,terminated
206,68,32,terminated
207,-34,34,terminated
208,65,35,terminated
209,-35,35,terminated
210,-236,36,terminated
211,-339,39,terminated
212,-31,31,terminated
213,-236,36,terminated
214,70,30,terminated
215,69,31,terminated
216,-32,32,terminated
217,-239,39,terminated
218,-34,34,terminated
219,-239,39,terminated
220,-31,31,terminated
221,-235,35,terminated
222,67,33,terminated
223,-132,32,terminated
224,-135,35,terminated
225,-35,35,terminated
226,-133,33,terminated
227,-139,39,terminated
228,-34,34,terminated
229,-135,35,terminated
230,66,34,terminated
231,-135,35,terminated
232,-236,36,terminated
233,-340,40,terminated
234,-134,34,terminated
235,-340,40,terminated
236,-34,34,terminated
237,71,29,terminated
238,-137,37,terminated
239,-29,29,terminated
240,-32,32,terminated
241,-32,32,terminated
242,-133,33,terminated
243,-237,37,terminated
244,-236,36,terminated
245,68,32,terminated
246,-135,35,terminated
247,69,31,terminated
248,-30,30,terminated
249,-134,34,terminated
250,-137,37,terminated
251,-231,31,terminated
252,-236,36,terminated
253,-131,31,terminated
254,-234,34,terminated
255,-136,36,terminated
256,-32,32,terminated
257,-237,37,terminated
258,-135,35,terminated
259,-32,32,terminated
260,66,34,terminated
261,-540,40,terminated
262,-138,38,terminated
263,-32,32,terminated
264,-136,36,terminated
265,69,31,terminated
266,-138,38,terminated
267,66,34,terminated
268,-238,38,terminated
269,-34,34,terminated
270,-134,34,terminated
271,68,32,terminated
272,-30,30,terminated
273,68,32,terminated
274,69,31,terminated
275,-135,35,terminated
276,-130,30,terminated
277,-31,31,terminated
278,-130,30,terminated
279,67,33,terminated
280,-134,34,terminated
281,-31,31,terminated
282,63,37,terminated
283,66,34,terminated
284,-34,34,terminated
285,68,32,terminated
286,-342,42,terminated
287,-31,31,terminated
288,-33,33,terminated
289,-135,35,terminated
290,-135,35,terminated
291,-134,34,terminated
292,-31,31,terminated
293,-133,33,terminated
294,-134,34,terminated
295,-335,35,terminated
296,-338,38,terminated
297,-135,35,terminated
298,-36,36,terminated
299,-437,37,terminated
300,68,32,terminated
301,-31,31,terminated
302,-32,32,terminated
303,-338,38,terminated
304,70,30,terminated
305,-31,31,terminated
306,-130,30,terminated
307,-32,32,terminated
308,-32,32,terminated
309,-235,35,terminated
310,-232,32,terminated
311,65,35,terminated
312,-341,41,terminated
313,-541,41,terminated
314,-132,32,terminated
315,-235,35,terminated
316,-37,37,terminated
317,-36,36,terminated
