episode,epsilon,reward,steps,exit_reason
0,1,-398.34366048500027,194,terminated
1,1,-393.55396596659716,190,terminated
2,1,-421.4751095228774,189,terminated
3,1,-472.820122122529,201,terminated
4,1,-402.9138286715165,187,terminated
5,1,-451.7243717188252,200,terminated
6,1,-425.6336765367159,192,terminated
7,1,-385.76701910102474,191,terminated
8,1,-366.431072848536,177,terminated
9,1,-435.17237720106266,191,terminated
10,1,-388.95186863866013,191,terminated
11,1,-397.27829670627784,197,terminated
12,1,-399.6700413460995,192,terminated
13,1,-394.94471118240995,192,terminated
14,1,-380.68958241091076,189,terminated
15,1,-404.5211345625209,192,terminated
16,1,-453.75147174831466,194,terminated
17,1,-369.27077557094043,191,terminated
18,1,-431.8299986528612,188,terminated
19,1,-446.8728518805913,189,terminated
20,1,-408.5285593375352,196,terminated
21,1,-382.4953343551944,188,terminated
22,1,-418.2429675823285,196,terminated
23,1,-428.2355984600188,186,terminated
24,1,-450.6492811086132,203,terminated
25,1,-392.2467940327911,191,terminated
26,1,-435.59101761732074,200,terminated
27,1,-403.11065145120574,193,terminated
28,1,-410.90980370119564,191,terminated
29,1,-427.27541936321535,191,terminated
30,1,-441.37694573643256,191,terminated
31,1,-403.7073979708119,194,terminated
32,1,-444.7878053980408,198,terminated
33,1,-424.3235098102886,197,terminated
34,1,-392.50724006509455,191,terminated
35,1,-437.8896771558587,197,terminated
36,1,-432.10772129308344,191,terminated
37,1,-379.36099358185226,191,terminated
38,1,-404.2499123064105,197,terminated
39,1,-403.2444937917335,196,terminated
40,1,-465.4034185611058,203,terminated
41,1,-422.06189332449674,188,terminated
42,1,-426.1692149858296,196,terminated
43,1,-417.6247198204264,199,terminated
44,1,-464.62018146112223,200,terminated
45,1,-413.65182813225215,198,terminated
46,1,-427.5103911764296,199,terminated
47,1,-385.16660291484453,189,terminated
48,1,-411.12443189126964,196,terminated
49,1,-395.43517855925467,192,terminated
50,1,-446.6362648960328,193,terminated
51,1,-417.94715194627554,189,terminated
52,1,-413.9635402641044,199,terminated
53,1,-437.1072234273817,193,terminated
54,1,-433.5986247677452,192,terminated
55,1,-457.4588995329197,197,terminated
56,1,-431.96700343844975,195,terminated
57,1,-394.67843517124857,196,terminated
58,1,-408.59634367295223,184,terminated
59,1,-440.6009042944991,191,terminated
60,1,-405.5304800720858,190,terminated
61,1,-410.1624255800818,198,terminated
62,1,-423.32869145423604,196,terminated
63,1,-412.4338024761031,196,terminated
64,1,-406.8433718907239,189,terminated
65,1,-392.8689240986804,189,terminated
66,1,-440.53578611471636,187,terminated
67,1,-393.28954783309854,201,terminated
68,1,-431.90270903274535,192,terminated
69,1,-431.14647898967416,188,terminated
70,1,-429.03817031851315,189,terminated
