power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_output,reward
922.973348,5.135237782782243,15,0.0005135237782782243,9069.026652,5.135237782782243,1.0,922.973348,-1
830.5894722024044,5.8272973425906045,15.0,0.0010962535125372847,8472.437179797596,10.962535125372847,1.0,830.5894722024044,-1
755.961947872851,6.082448488340906,15.0,0.0017044983613713754,7950.4752319247455,17.044983613713754,1.0,755.961947872851,-1
694.7564879275687,6.113365299949777,15.0,0.0023158348913663532,7489.718743997177,23.15834891366353,1.0,694.7564879275687,-1
643.897561160472,6.015453802271468,15.0,0.0029173802715934997,7079.821182836705,29.173802715934997,1.0,643.897561160472,-1
601.1506645871276,5.842023654350884,15.0,0.003501582637028588,6712.670518249577,35.01582637028588,1.0,601.1506645871276,-1
564.8587605980133,5.626329259545787,15.0,0.0040642155629831665,6381.811757651563,40.64215562983166,1.0,564.8587605980133,-1
533.7708162132967,5.390402772530419,15.0,0.004603255840236208,6082.040941438267,46.032558402362085,1.0,533.7708162132967,-1
506.92724825862695,5.149260714176756,15.0,0.005118181911653884,5809.11369317964,51.18181911653884,1.0,506.92724825862695,-1
483.58157479632354,4.913144051112057,15.0,0.005609496316765089,5559.532118383317,56.094963167650896,1.0,483.58157479632354,-1
463.14570549963145,4.688823841347778,15.0,0.006078378700899867,5330.386412883685,60.78378700899867,1.0,463.14570549963145,-1
445.15102392421744,4.480441439531826,15.0,0.00652642284485305,5119.235388959468,65.2642284485305,1.0,445.15102392421744,-1
429.22023816763175,4.2901178373537405,15.0,0.006955434628588423,4924.015150791836,69.55434628588424,1.0,429.22023816763175,-1
415.0467112834141,4.118449596381347,15.0,0.007367279588226559,4742.968439508422,73.67279588226559,1.0,415.0467112834141,-1
402.3790747380801,3.9649411669594232,15.0,0.007763773704922501,4574.589364770342,77.63773704922501,1.0,402.3790747380801,-1
391.00963053286125,3.8283838775702246,15.0,0.008146612092679523,4417.579734237481,81.46612092679523,1.0,391.00963053286125,-1
380.765508347166,3.707173653314281,15.0,0.008517329458010951,4270.814225890314,85.17329458010951,1.0,380.765508347166,-1
371.50185178401733,3.5995574795531393,15.0,0.008877285205966265,4133.312374106297,88.77285205966265,1.0,371.50185178401733,-1
363.0965167340261,3.503805930219688,15.0,0.009227665798988234,4004.2158573722713,92.27665798988234,1.0,363.0965167340261,-1
355.4459088989771,3.4183185865038563,15.0,0.00956949765763862,3882.7699484732943,95.6949765763862,1.0,355.4459088989771,-1
348.4616881908597,3.341675946782389,15.0,0.009903665252316859,3768.3082602824347,99.03665252316858,1.0,348.4616881908597,-1
342.0681390102394,3.2726537707064103,15.0,0.0102309306293875,3660.240121272195,102.309306293875,1.0,342.0681390102394,-1
336.2000564965209,3.210214460582113,15.0,0.01055195207544571,3558.040064775674,105.5195207544571,1.0,336.2000564965209,-1
330.8010358668262,3.1534867866069107,15.0,0.0108673007541064,3461.239028908848,108.67300754106401,1.0,330.8010358668262,-1
325.82207907318343,3.1017415700385906,15.0,0.01117747491111026,3369.4169498356646,111.7747491111026,1.0,325.82207907318343,-1
321.2204530575011,3.054367784732803,15.0,0.01148291168958354,3282.1964967781632,114.8291168958354,1.0,321.2204530575011,-1
316.9587488468297,3.010851261442189,15.0,0.011783996815727758,3199.2377479313336,117.83996815727758,1.0,316.9587488468297,-1
